성명,소속,직군,레벨,고용유형,성별,생년월일,입사예정일,입사전경력(개월)
주훈원,Data and AI,Data/AI,IC2,정규직,여성,1993-01-17,2026-10-28,41
곽아주,Product,Product,IC3,정규직,여성,1994-07-01,2026-09-27,54
권재호,People,People,Senior,정규직,여성,1985-04-01,2026-09-25,148
방성태,Engineering,Engineering,Senior,정규직,남성,1996-03-26,2026-10-30,93
공채건,Engineering,Engineering,IC2,정규직,여성,1994-01-11,20260930,24
임시인,Data & AI,Engineering,IC3,정규직,여성,1999-03-14,2026-10-17,55
장소미,Engineering,Engineering,IC2,정규직,남성,2000-06-16,2026-09-26,22
곽철연,Data & AI,Data/AI,IC2,정규직,여성,1993-11-12,2026-09-29,13
백원호,Engineering,Engineering,Senior,정규직,남성,1992-02-03,2026-10-08,128
고환하,Sales,Sales,IC3,정규직,여성,1988-06-29,2026-10-01,74
최동주,Design,Design,Senior,정규직,남성,1995-04-09,2026-09-30,125
심서찬,Engineering,Engineering,IC1,정규직,남성,1999-01-20,2026-09-27,18
류라정,Sales,Sales,IC1,정규직,여성,1997-05-16,2026-09-26,17
한아석,Data & AI,Data/AI,IC2,정규직,남성,1995-05-13,2026-09-24,40
송유도,Product,Product,Senior,정규직,미응답,1984-01-13,2026-09-25,139
장민기,Sales,Sales,Lead,정규직,미응답,1987-04-17,2026-09-25,138
지나율,Engineering,Engineering,IC2,정규직,남성,2001-11-01,2026-10-03,18
주우진,Product,Product,IC1,계약직,미응답,1999-06-02,2026-10-18,0
조은다,Sales,Sales,Senior,정규직,남성,1985-11-30,2026-10-07,115
장건라,Engineering,Engineering,IC3,정규직,미응답,1997-02-08,2026-09-24,59
신원경,Customer Success,Customer Success,IC3,정규직,남성,1999-06-03,2026-09-24,82
노우소,Marketing,Marketing,IC2,정규직,미응답,1997-05-05,2026-09-25,17
오주도,Sales,Sales,Lead,정규직,미응답,1993-07-16,2026-09-25,151
주은도,Engineering,Engineering,Lead,인턴,F,1994-07-11,2026/09/28,126
임희수,Customer success,Customer Success,IC1,인턴,미응답,2000-03-19,2026-09-26,12
우소빈,Finance,Finance,Senior,계약직,미응답,1994-05-01,2026.09.28,75
유희윤,Product,Product,Senior,정규직,여성,1987-05-16,2026-09-28,111
