사번,성명,소속,퇴사예정일,퇴직사유
E0107,지호혜,Marketing,2026-09-28,자발퇴사
E0363,서예채,Sales,2026-09-30,개인사유
E0401,채석아,Customer Success,2026-10-05,조직개편
E0356,주도빈,Marketing,2026-10-23,자발적 퇴사
E0240,하성희,Sales,2026-10-19,개인사유
E0361,민상다,Engineering,2026-09-25,조직개편
E0118,원준재,Design,2026-09-30,자발퇴사
E0077,성훈희,Sales,2026-09-30,자발퇴사
E0128,손수아,Engineering,2026-09-30,개인 사정
E0028,구석선,Customer Success,2026-09-27,자발퇴사
E0112,현규빈,Engineering,2026-09-28,성과/적합도
E0251,이우율,Legal & Compliance,2026-09-15,조직 개편에 따른
E0395,황윤상,Sales,2026-09-30,계약만료
E0352,안찬아,Engineering,2026/09/30,계약만료
E0015,류훈원,Data & AI,2026-09-30,계약 기간 만료
E0011,심하선,Engineering,2026-10-30,자발퇴사
E0366,남지미,Product,2026.09.30,성과 부진
E9999,문도동,Sales,2026-09-30,개인사유
E0064,허은선,Finance,2026-09-30,자발적 이직
